20,0
20,0
19,1
18,2
19,1
12,8
18,2
16,4
17,3
17,3
17,3
15,5
13,7
16,4
15,5
17,3
17,3
16,4
18,2
15,5
13,7
15,5
13,7
15,5
11,9
15,5
10,10
16,4
12,8
14,6
12,8
7,13
11,9
12,8
10,10
15,5
13,7
14,6
12,8
11,9
11,9
12,8
10,10
18,2
14,6
11,9
10,10
8,12
15,5
13,7
17,3
10,10
11,9
11,9
10,10
6,14
9,11
9,11
12,8
10,10
6,14
10,10
7,13
4,16
4,16
9,11
4,16
3,17
5,15
7,13
6,14
7,13
1,19
5,15
4,16
5,15
3,17
2,18
6,14
5,15
1,19
4,16
4,16
3,17
3,17
5,15
3,17
7,13
2,18
1,19
4,16
4,16
4,16
1,19
1,19
4,16
5,15
8,12
6,14
5,15
