20,0
20,0
20,0
20,0
20,0
19,1
16,4
8,12
7,13
11,9
6,14
9,11
9,11
18,2
17,3
16,4
14,6
13,7
11,9
10,10
8,12
10,10
10,10
8,12
7,13
10,10
5,15
12,8
12,8
11,9
9,11
13,7
14,6
10,10
10,10
8,12
10,10
15,5
12,8
10,10
13,7
11,9
16,4
12,8
17,3
11,9
12,8
7,13
13,7
7,13
10,10
13,7
5,15
13,7
12,8
5,15
10,10
5,15
9,11
9,11
7,13
6,14
7,13
11,9
7,13
12,8
8,12
4,16
8,12
8,12
5,15
9,11
10,10
12,8
11,9
10,10
5,15
9,11
6,14
11,9
2,18
4,16
5,15
6,14
4,16
7,13
8,12
7,13
2,18
5,15
5,15
4,16
2,18
5,15
3,17
5,15
5,15
10,10
4,16
4,16
5,15
8,12
6,14
6,14
6,14
5,15
7,13
6,14
6,14
2,18
2,18
7,13
6,14
8,12
8,12
4,16
6,14
9,11
7,13
5,15
9,11
11,9
4,16
11,9
9,11
8,12
9,11
8,12
5,15
4,16
3,17
8,12
6,14
5,15
8,12
6,14
5,15
4,16
10,10
8,12
7,13
5,15
4,16
11,9
6,14
6,14
9,11
5,15
6,14
5,15
6,14
5,15
5,15
10,10
8,12
9,11
5,15
5,15
6,14
11,9
9,11
10,10
6,14
11,9
12,8
11,9
6,14
8,12
7,13
12,8
5,15
6,14
12,8
10,10
4,16
8,12
7,13
8,12
8,12
8,12
8,12
9,11
8,12
7,13
6,14
2,18
8,12
7,13
5,15
4,16
8,12
7,13
3,17
2,18
2,18
6,14
7,13
9,11
2,18
6,14
